model,protocol,augmented,seed,r2,rmse,mae,n_test,n_test_studies,ladder
Ridge,study_grouped,0,20,-0.7428444041361946,0.12275993687516806,0.09650811713580154,47,16,study_grouped
Ridge,study_grouped,0,21,0.07621383643846391,0.08150477410806196,0.056319372419406176,53,16,study_grouped
Ridge,study_grouped,0,22,-0.0916344793474233,0.1312171900611831,0.10691138823689164,29,16,study_grouped
Ridge,study_grouped,0,23,0.18366574305937622,0.1003100993949445,0.07587016461544642,39,16,study_grouped
Ridge,study_grouped,0,24,-1.4005895901064278,0.16287245515645726,0.13669273085905367,20,16,study_grouped
Ridge,study_grouped,0,25,-1.1952321729907607,0.16655030299553997,0.13143041065221267,36,16,study_grouped
Ridge,study_grouped,0,26,-0.4727655779423392,0.12065579110102186,0.10511674171852364,33,16,study_grouped
Ridge,study_grouped,0,27,-0.01426033715078967,0.11031428091916741,0.09592624420524912,21,16,study_grouped
Ridge,study_grouped,0,28,-0.2278670228012709,0.08129120131247325,0.06396787344732502,48,16,study_grouped
Ridge,study_grouped,0,29,-0.7062640659214303,0.14688830042395293,0.1132106358159596,26,16,study_grouped
Ridge,study_grouped,0,30,-0.7371896765298849,0.2336111936805767,0.1855174405268,37,16,study_grouped
Ridge,study_grouped,0,31,-0.30660217412744606,0.11360985280701032,0.08236729217400167,67,16,study_grouped
Ridge,study_grouped,0,32,-0.44130909723186007,0.23080563176636734,0.1717697617479949,34,16,study_grouped
Ridge,study_grouped,0,33,-0.6335353428410526,0.13721271488390943,0.10198304685567323,47,16,study_grouped
Ridge,study_grouped,0,34,-0.123444340291055,0.11295942705113277,0.09235261501827696,39,16,study_grouped
Ridge,study_grouped,0,35,-0.5288233435208833,0.11358599092159115,0.0944028757961763,36,16,study_grouped
Ridge,study_grouped,0,36,-0.4091619729112632,0.13117090735268355,0.10398931768180648,38,16,study_grouped
Ridge,study_grouped,0,37,-0.8477918190825708,0.1238639374580554,0.10887597025931406,27,16,study_grouped
Ridge,study_grouped,0,38,-0.3039215894590499,0.12996476007957034,0.09005598070444014,47,16,study_grouped
Ridge,study_grouped,0,39,0.0857945822515469,0.11099749216417762,0.08748425255708972,27,16,study_grouped
MeanPredictor,study_grouped,0,0,-0.05371544342945622,0.10810586303472727,0.08003647446646342,32,16,study_grouped
MeanPredictor,study_grouped,0,1,-0.04828108030166467,0.10500011654483099,0.08594104136546185,30,16,study_grouped
MeanPredictor,study_grouped,0,2,-0.06812549226285469,0.10123931793488619,0.08248525454545455,20,16,study_grouped
MeanPredictor,study_grouped,0,3,-0.05542743896289193,0.12041512572290423,0.09930618258503401,21,16,study_grouped
MeanPredictor,study_grouped,0,4,-0.02305122351773159,0.08777571247596769,0.06554566746411483,44,16,study_grouped
MeanPredictor,study_grouped,0,5,-1.223612121957077,0.1207819014978324,0.11078963759594973,39,16,study_grouped
MeanPredictor,study_grouped,0,6,-0.4419629268137901,0.1378753321879665,0.1295855025337838,48,16,study_grouped
MeanPredictor,study_grouped,0,7,-0.10877591418249488,0.12001224698946698,0.09774563334721643,49,16,study_grouped
MeanPredictor,study_grouped,0,8,-0.2185096575702321,0.1934429881218127,0.13233231046872446,39,16,study_grouped
MeanPredictor,study_grouped,0,9,-0.002416214858850241,0.11791111578754093,0.0908516704347826,46,16,study_grouped
MeanPredictor,study_grouped,0,10,-0.011283390190822695,0.09438154980977806,0.07300297756286267,55,16,study_grouped
MeanPredictor,study_grouped,0,11,-0.13315325155862667,0.09613558713398994,0.07189707780612245,28,16,study_grouped
MeanPredictor,study_grouped,0,12,-0.20902293092613378,0.1090407213400946,0.09351345612244898,56,16,study_grouped
MeanPredictor,study_grouped,0,13,-0.14034193298577735,0.11727905921765186,0.10299385442907288,29,16,study_grouped
MeanPredictor,study_grouped,0,14,-0.018496019164594202,0.10579467629954577,0.07703416286388669,41,16,study_grouped
MeanPredictor,study_grouped,0,15,-0.005398115973302309,0.10461171726033984,0.07541011507734148,37,16,study_grouped
MeanPredictor,study_grouped,0,16,-0.058039479559182316,0.08376962492027223,0.06943219270833333,36,16,study_grouped
MeanPredictor,study_grouped,0,17,-1.170469867599754,0.09238461267748473,0.07909833420994959,27,16,study_grouped
MeanPredictor,study_grouped,0,18,-0.4542564229986761,0.21920490612925062,0.1612282559139785,31,16,study_grouped
MeanPredictor,study_grouped,0,19,-0.15435662169810138,0.10199230377881961,0.08491215702811244,30,16,study_grouped
MeanPredictor,study_grouped,0,20,-0.08883579692269117,0.09703056125565458,0.08204508624875054,47,16,study_grouped
